,name,country,sector,founded,marketcap,revenue,employees,website,ceo
64,3A INFORMATICA,ITALY,TELECOMS,2005,,1970000,33,HTTPS://WWW.3AINFORMATICA.IT/,
65,3C,ITALY,AUTOMOBILES,1979,,13,15,HTTPS://WWW.3CSRL.COM/,
66,3CNERGY LTD,SINGAPORE,,,,,,,
67,3CS CORPORATE SOLICITORS,UNITED KINGDOM,LAW,2012,,2,28,HTTPS://WWW.3HRCS.COM/,
68,3D SYSTEMS,USA,D PRINTING TECH SOFTWARE,1986,1230000000,615000000,1721,HTTPS://WWW.3DSYSTEMS.COM,
69,3DPLM SOFTWARE SOLUTIONS,FRANCE,SOFTWARE PRODUCT,2001,,,,,
70,3DSTO 12454634,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA PIKK TN,SPECIALISED DESIGN ACTIVITIES,,,,,,
71,3E COMPANY ENVIRONMENTAL ECOLOGICAL AND ENGINEERING,UNITED STATES,,,,,,,
72,3E STUDIO,ITALY,SUPPORT SERVICES,2015,,2804580,22,HTTPS://WWW.3ESTUDIO.EU/,
73,3F INDUSTRIES,INDIA,FOOD PROCESSING,1960,86140000,85000000,,HTTPS://WWW.3I-INFOTECH.COM/,
74,3H BIOMEDICAL,UPPSALA,BIOTECHNOLOGY,2004,,,,,
75,3I,LONDON,CORPORATE FICE,1945,,,,,
76,3I GROUP,UK,FICIAL SERVICES,1945,40133000000,4882000,282,HTTPS://WWW.3I.COM/,SIMON A BORROWS
77,3I INFOTECH,INDIA,IT SERVICES CONSULTING,1993,83210000,417000000,,,
78,3I INFRASTRUCTURE,UK,INVESTMENTS,,,485000000,,,
79,3KLES CONSULTING,FRANCE,SUPPORT SERVICES,2012,,4,25,HTTPS://WWW.3KLES-CONSULTING.COM,
80,3LHD,ZAGREB,BUSINESS SUPPORT SERVICES,1994,,,,,
81,3M,USA,DOWJONES GLOVESPPE,1902,70540000000,34760000000,95000,,MICHAEL F ROMAN
82,3M INDIA,INDIA,GLOVE PPE,,3130000000,417000000,1277,HTTPS://WWW.3MINDIA.IN/3M/EN_IN/COMPANY-IN/,
83,3M INNOVATIVE PROPERTIES COMPANY,UNITED STATES,,,,,,,
84,3P LEARNING LIMITED,AUSTRALIA,,,,,350,,DR ANDREAS FOURAS M A I C D PH D
85,3P LOGISTICS OU,ESTONIA,,,,,,,
86,3PEAK INC,CHINA,,2012,8907000000,193000000,395,HTTP://WWW.3PEAKIC.COM.CN/,MR ZHIXU ZHOU
87,3PILLAR GLOBAL,INDIA,IT SERVICES CONSULTING,2006,,,,,
88,3R PETROLEUM,BRAZIL,OIL GAS ENERGY,,1950000000,,,,MR RICARDO RODRIGUES SAVINI
89,3SBIO,CHINA,,,2844000000,929000000,,HTTPS://WWW.3SBIO.COM/EN/,
90,3SCALE,BARCELONA,SOFTWARE,2007,,,,,
91,3U HOLDING AG,GERMANY,AUTOMOBILES,2016,,25448057,227,HTTPS://WWW.3ZEHN.NET/,MR MICHAEL SCHMIDT
92,42MARU,SOUTH KOREA,TECHNOLOGY,2015,,2,65,HTTPS://WWW.42MARU.AI/,
93,4AIM SICAF S P A,ITALY,COSTRUZIONI IMPIANTISTICA,,,,3,,MR GIOVANNI NATALI
94,4D MOLECULAR THERAPEUTICS,USA,PHARMACEUTICALS BIOTECH,,650000000,,,,
95,4D PHARMA PLC,UNITED KINGDOM,,,,,92,,MR DUNCAN JOSEPH PEYTON
96,4E TV,THESSALONIKI,MEDIA,1994,,,,,
97,4F,WIELICZKA,TEXTILE,2007,,,,,
