,name,country,sector,founded,marketcap,revenue,employees,website,ceo
2443,ASHLAND,USA,CHEMICALS,1924,5960000000,2390000000,38,HTTPS://WWW.ASHLAND.COM/,
2444,ASHLEY SERVICES GROUP LIMITED,AUSTRALIA,,,,,,,
2445,ASHLING PARTNERS CAREERS,CHICAGO,INFORMATION TECHNOLOGY SERVICES,2017,,,125,WWW.ASHLINGPARTNERS.COM,
2446,ASHOK IRON WORKS,INDIA,INDUSTRIAL MACHINERY,1974,290000000,,,,
2447,ASHOK LEYLAND,INDIA,AUTOMOBILE,1948,,,,,
2448,ASHOKA BUILDCON,INDIA,ENGINEERING CONSTRUCTION,1976,310000000,,,,
2449,ASHOT ASHKELON INDUSTRIES LTD,ISRAEL,,,,,462,,
2450,ASHPRA SKILLS,INDIA,EDUCATION TRAINING,2014,,,,,
2451,ASHTEAD,UNITED KINGDOM,,,27520000000,8870000000,22807,,
2452,ASHTEAD FINANCING LIMITED,UNITED KINGDOM,BUSINESS SERVICES SUPPLIES,1984,28280000000,7650000000,18826,HTTPS://WWW.LIGHTFOOT.CO.UK/,BRENDAN HORGAN
2453,ASHTECH INDIA,INDIA,BUILDING MATERIAL,1994,,,,,
2454,ASHTROM GROUP LTD,ISRAEL,,,,,733,,MR TAK HING LAM
2455,ASHURST LLP,UNITED KINGDOM,ECOMMERCE,2005,,152,464,,
2456,ASHV FINANCE,,,,,,,,
2457,ASIA AVIATION PUBLIC COMPANY LTD,THAILAND,,1957,5534000000,3074000,,HTTPS://WWW.ACC.COM.TW/,MR SANTISUK KLONGCHAIYA
2458,ASIA CASSAVA RESOURCES HOLDINGS LTD,HONG KONG,,,,,250,,MR MING CHUAN CHU
2459,ASIA CEMENT,TAIWAN,CEMENT BUILDING MATERIALS,,4980000000,,,,MR YI GUI WU
2460,ASIA CEMENT CHINA HOLDINGS CORPORATION,CHINA,,,1202000000,,,HTTP://WWW.ACHC.COM.CN/EN/,
2461,ASIA DRAGON TRUST PLC,,,,,,,,
2462,ASIA MOTOR WORKS,INDIA,AUTO COMPONENTS,2002,75100000,,,,
2463,ASIA PACIFIC INSTITUTE OF MANAGEMENT,INDIA,EDUCATION TRAINING,1996,44366000000,3623000,7600,,AMIT SYNGLE
2464,ASIA PACIFIC STRATEGIC INVESTMENTS LTD,SINGAPORE,,,,,12,,DR YEOW MING CHOO
2465,ASIA TELE NET TECHNOLOGY CORP LTD,HONG KONG,,,,,437,,
2466,ASIA VITAL COMPONENTS,TAIWAN,,,930000000,1564000,,HTTP://WWW.AVC.CO/EN-US/,MR CHING HANG SHEN
2467,ASIAINFO TECHNOLOGIES,CHINA,IT SERVICES CONSULTING,1992,1505000000,,246,HTTPS://WWW.ASIAINFO.COM/,
2468,ASIAMET RESOURCES LIMITED,AUSTRALIA,,,,,,,
2469,ASIAN CAPITAL RESOURCES,HONG KONG,,,,,54,,
2470,ASIAN COLOUR COATED ISPAT,INDIA,METALS MINING,2005,34600000000,3770000000,7600,HTTPS://WWW.ASIANPAINTS.COM/,AMIT SYNGLE
2471,ASIAN GRANITO INDIA,INDIA,BUILDING MATERIAL,2000,,,,,
2472,ASIAN HEART INSTITUTE AND RESEARCH CENTRE,INDIA,HEALTHCARE,2002,,,,,
2473,ASIAN PAINTS,INDIA,CHEMICALS,1942,34410000000,4280000000,7423,HTTPS://WWW.FLYASIANA.COM/,AMIT SYNGLE
2474,ASIANA,HONG KONG,FULL SERVICE AIRLINES,2000,,15,150,HTTPS://WWW.ASIAPAY.COM/,
2475,ASIANET SATELLITE COMMUNICATIONS,INDIA,INTERNET,1993,,,,,
2476,ASIANLAK HEALTH FOODS,INDIA,BEVERAGE,1994,,,,,
2477,ASIANSTREAM,JAPAN,TECHNOLOGY,2012,3872000000,11,37,HTTPS://ASIANSTREAM.CO.JP/,MR MOTOI OYAMA
2478,ASIAPHOS LTD,SINGAPORE,,,,,620,,DR HIAN ENG ONG B SC B SC D I C PH D C ENG F I CHEM E
2479,ASIASOFT,THAILAND,VIDEO GAMES ENTERTAINMENT,,250000000,,,,
2480,ASICS,ZAANDAM,SPORTING APPAREL,1949,,,,,
2481,ASICS ITALIA SRL,ITALY,,,,,79,,MR GIAN FRANCO NANNI
2482,ASIENCE,,SHAMPOO,,,,,,
2483,ASIT BIOTECH SA,BELGIUM,,,,,,,MR FRANK HAZEVOETS
2484,ASIT C MEHTA INVESTMENT INTERRMEDIATES,INDIA,INVESTMENT BANKING VENTURE CAPITAL PRIVATE EQUITY,1985,,,,,
2485,ASIX ELECTRONICS CORP,TAIWAN,,,,,,,
2486,ASIX S R O,PRAGUE,ELECTRONIC EQUIPMENT,1991,,,,,
2487,ASK AUTOMOTIVE,INDIA,AUTO COMPONENTS,1988,,,,,
2488,ASK EHS ENGINEERING CONSULTANTS,INDIA,ENGINEERING CONSTRUCTION,2005,,,,,
2489,ASKET,SWEDEN,FASHION,2015,,6525278,13,HTTPS://WWW.ASKET.COM/DE/,MR MURLY MANOKHARAN
2490,ASKLEPIOS KLINIKEN GMBH,HAMBURG,HEALTHCARE,1985,,3912,35327,WWW.ASKLEPIOS.COM,
2491,ASKNET SOLUTIONS AG,GERMANY,,,,,71,,
2492,ASKUL CORP,JAPAN,,1963,1634000000,3127000,3297,HTTPS://WWW.ASKUL.CO.JP/KAISYA/ENGLISH/,MR AKIRA YOSHIOKA
2493,ASL AIRLINES BELGIUM,LI GE,DELIVERY SERVICES,1999,,,,,
2494,ASL MARINE HOLDINGS LTD,SINGAPORE,,,,,,,MR KOK TIAN ANG
2495,ASLAN PHARMACEUTICALS LIMITED,SINGAPORE,,,,,,,DR CARL ALAN JASON MORTON FIRTH
2496,ASM INTERNATIONAL,NETHERLANDS,SEMICONDUCTORS,1964,13590000000,2200000000,3312,HTTPS://WWW.ASM.COM/,GEK LIM LOH
2497,ASM PACIFIC TECHNOLOGY,HONG KONG,TECH SEMICONDUCTORS,1975,3370000000,2195000,15200,HTTP://WWW1.ASMPACIFIC.COM/EN/,MR CHER TAT NG
2498,ASMALLWORLD AG,SWITZERLAND,,,,,50,,MR JAN LUESCHER
2499,ASMITHA MICROFINANCE,INDIA,FICIAL SERVICES,2002,,,,,
2500,ASML,VELDHOVEN,INDUSTRIAL MACHINERY,1984,274350000000,,29861,,MR PETER T F M WENNINK
2501,ASML HOLDING,NETHERLANDS,TECHNOLOGY,1984,307330000000,20509000,28000,HTTPS://WWW.ASML.COM/ASML/EN/S427,GERARD KLEISTERLEE
2502,ASN BANK,THE HAGUE,BANKS,1960,,,,,
2503,ASN BROKER PUBLIC COMPANY LTD,THAILAND,,,,,,,MR THAWATCHAI LERTRUNGRUEANG
2504,ASO,UK,MEN S WOMEN S SHOES,2000,5323000000,5189000,3824,HTTPS://WWW.ASOS.COM/,
2505,ASOCIACI NDECIENT FICOSESPA OLESENESTONIA,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA LIIVALAIA TN,,,,,,,
2506,ASOS COM LIMITED,UNITED KINGDOM,,,,,3126,,
2507,ASP ISOTOPES,USA,ENERGY,2001,51730000,121000000,290,HTTPS://WWW.AEROGEL.COM/,
2508,ASPACEO 14588586,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA LAMBI TN,OTHER SOFTWARE PUBLISHING,,,,,,
2509,ASPAO 12161234,HARJU MAAKOND TALLINN KRISTIINE LINNAOSA A H TAMMSAARE TEE,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES,,,,,,
2510,ASPARAGUSO 14430891,HARJU MAAKOND TALLINN P HJA TALLINNA LINNAOSA KOTZEBUE TN,PHOTOGRAPHIC ACTIVITIES,,,,,,
2511,ASPAREESTIOSA HING 11412488,T RMA T RMA VILLAGE RAKVERE RURAL MUNICIPALITY L NE VIRU COUNTY,ACTIVITIES OF HOLDING COMPANIES,,,,,,
2512,ASPARKO 14697223,HARJU MAAKOND TALLINN LASNAM E LINNAOSA VESSE TN,MAINTECE AND REPAIR OF MOTOR VEHICLES,,,,,,
2513,ASPARTEENUSEDO 12743002,RAPLA MAAKOND M RJAMAA VALD S TKE K LA METSANURGA TN,OTHER BUSINESS SUPPORT SERVICE ACTIVITIES N E C,,,,,,
2514,ASPEN GROUP,AUSTRALIA,,,,,30,,MR JOHN CARTER M B A MBA SYD
2515,ASPEN INSURANCE HOLDINGS,BERMUDA,,1850,1602000000,2585000,9800,HTTPS://WWW.ASPEN.CO/,
2516,ASPEN PHARMACARE,SOUTH AFRICA,PHARMACEUTICALS BIOTECH,,3710000000,,8581,,MR STEPHEN BRADLEY SAAD
2517,ASPEN TECHNOLOGY CAREERS,BEDFORD,COMPUTER SOFTWARE,1981,,,3000,WWW.ASPENTECH.COM,
2518,ASPEN TECHNOLOGY SERVICES CORPORATION,UNITED STATES,,,,,,,
2519,ASPENS SERVICES,UNITED KINGDOM,FOOD BEVERAGE,2008,,56,2172,HTTPS://WWW.ASPENS-SERVICES.CO.UK/,
2520,ASPENTECH,USA,SOFTWARE TECH,2016,12680000000,840000000,3700,HTTPS://WWW.ASSI.TECH/,
2521,ASPINWALL AND COMPANY LTD,INDIA,INSURANCE,2013,,,728,,MR RAJESH SUNDARRAJ
2522,ASPIR ADOUR,FRANCE,CONSTRUCTION,2010,,1842662,14,HTTP://ASPIRADOUR.NET/,
2523,ASPIRE SYSTEMS,UNITED STATES USA,IT SERVICES CONSULTING,1996,,,,,
2524,ASPIRING MINDS,UNITED STATES,SOFTWARE PRODUCT,2008,,,,,
2525,ASPIRO PHARMA,INDIA,PHARMA,2012,32104999999,9458000000,15883,HTTPS://WWW.ASTELLAS.COM,KENJI YASUKAWA
2526,ASPO OYJ,FINLAND,,,,,928,,MR MIKKO MONTONEN M SC M SC TECH
2527,ASPY GLOBAL SERVICES SA,SPAIN,,,,,,,
2528,ASQRATSANIKUDPP 10589092,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA PRONKSI TN,OTHER CREDIT GRANTING EXCEPT PAWN SHOPS,,,,,,
2529,ASR NEDERLAND,NETHERLANDS,INSURANCE,2000,6890000000,11700000000,2547,HTTPS://WWW.ASRNEDERLAND.NL/,JOS P M
2530,ASROCK,TAIWAN,,,1113000000,,,HTTPS://WWW.ASROCK.COM/,
2531,ASSA ABLOY,SWEDEN,CAPITAL GOODS,1994,26270000000,11070000000,51000,HTTPS://WWW.ASSAABLOY.COM/,NICO DELVAUX
2532,ASSA ATACADISTA,BRAZIL,RETAIL SUPERMARKETS,,5260000000,,,,
2533,ASSAM DOWN TOWN UNIVERSITY,INDIA,EDUCATION TRAINING,2010,,,,,
2534,ASSAMPOPANK 10040839,,,,,,,,
2535,ASSEBPANK 10004252,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA TORNIM E TN,CREDIT INSTITUTIONS BANKS,,,,,,
2536,ASSECO,RZESZ W,SOFTWARE,1991,1390000000,,,,
2537,ASSECO BUSINESS SOLUTIONS SA,POLAND,,1991,1733000000,14494000,1002,HTTPS://ASSECO.COM/,MR ADAM TADEUSZ GORAL
2538,ASSERTIO THERAPEUTICS,USA,PHARMACEUTICALS,1996,180000000,530000000,870,HTTPS://WWW.ASSETMARK.COM/,
2539,ASSET COMPANY 2 SRL,ITALY,FICE INSURANCE AND REAL ESTATE,1988,,2798345,15,HTTPS://WWW.ASSISTEC.CC,
2540,ASSET DEVELOPMENT FUND,ATHENS,REAL ESTATE HOLDING,2011,,,,,
2541,ASSET PLUS LTD,NEW ZEALAND,,,,,,,
2542,ASSET WORLD CORP,THAILAND,REAL ESTATE,2009,6000000000,119000000,,HTTPS://WWW.ASSETWORLDCORP-TH.COM/,MS WALLAPA TRAISORAT
2543,ASSETCO PLC,UNITED KINGDOM,FICIAL SERVICES,2012,,19,11,HTTPS://WWW.ASSETZCAPITAL.CO.UK/,MR CAMPBELL DAVID FLEMING
2544,ASSETMARK,USA,,,1800000000,1049000,,,
2545,ASSICURAZIONI GENERALI,ITALY,FICIALS,1831,35200000000,92763000000,72644,HTTPS://WWW.GENERALI.COM/,PHILIPPE DONNET
2546,ASSIMILATE SOLUTIONS,UNITED STATES USA,BPO,2013,,,,,
2547,ASSITECA SPA INTERNAZIONALE DI BROKERAGGIO ASSICURATIVO,ITALY,,,,,,,
2548,ASSITECH S R L,ITALY,COSTRUZIONI IMPIANTISTICA,,,,2676,,
2549,ASSOCIATED BANC CORP,USA,INVESTMENT,1861,3540000000,1049000,4000,HTTPS://WWW.ASSOCIATEDBANK.COM/,
2550,ASSOCIATED BRITISH FOODS,UK,CONSUMER DEFENSIVE,1935,22066000000,18174000,128000,HTTPS://WWW.ABF.CO.UK/,MICHAEL MCLINTOCK
2551,ASSOCIATED INDUSTRIES INSURANCE COMPANY INC,UNITED STATES,,,,,15600,,MR KEITH WARNER DEMMINGS
2552,ASSOCIATED INTERNATIONAL HOTELS,HONG KONG,REAL ESTATE,,,,,,
2553,ASSOCIATED ROAD CARRIERS,INDIA,URBAN TRANSPORT,1972,,,,,
2554,ASSOCIATION OF HUNGARIAN RECORD COMPANIES,BUDAPEST,BROADCASTING ENTERTAINMENT,1992,,,,,
2555,ASSURA,UK,REAL ESTATE,2003,2953000000,160000000,81,HTTPS://WWW.ASSURAPLC.COM/,MR JONATHAN STEWART MURPHY ACA MBA
2556,ASSURED GUARANTY,BERMUDA,INSURANCE,2003,3640000000,698000000,412,HTTPS://ASSUREDGUARANTY.COM/,
2557,ASSUREDPARTNERS OF ILLINOIS LLC,UNITED STATES,,,,,,,
2558,ASSYSTEM SA,FRANCE,,,,,6159,,MR DOMINIQUE LOUIS
2559,AST SPACEMOBILE,USA,TELECOMMUNICATION TECH AEROSPACE,2003,1030000000,1097000,4041,HTTPS://WWW.ASTECINDUSTRIES.COM/,
2560,ASTALDI S P A,ITALY,CONSTRUCTION,1950,,,4032,,
2561,ASTEC INDUSTRIES,,,,970000000,1190000000,4041,,
2562,ASTEC LIFESCIENCES,INDIA,AGRO CHEMICALS,1994,420000000,,,,
2563,ASTECH FOOD MACHINERY,SPAIN,TECHNOLOGY,2012,,2,19,HTTPS://WWW.ASTECH.ES,
2564,ASTEELFLASH CAREERS,NEUILLY PLAISANCE,ELECTRICAL ELECTRONIC MANUFACTURING,1999,,,3000,WWW.ASTEELFLASH.COM,
2565,ASTEL GARDEN GROUP OU,ESTONIA,,,,,,,
2566,ASTER DM HEALTHCARE,INDIA,HEALTHCARE,1987,1257000000,1283000,,HTTP://WWW.ASTERDMHEALTHCARE.COM/,
2567,ASTERA LABS,UNITED STATES,HARDWARE,2017,120000000,,,,
2568,ASTI HOLDINGS LTD,SINGAPORE,,,,,,,MR SIN HOCK LOH
2569,ASTIKA BREWERY,PAZARDZHIK,BREWERS,1980,,,,,
2570,ASTILLEROS Y TALLERES DEL NOROESTE,FENE,SHIPBUILDING,1944,,,,,
2571,ASTM SPA,ITALY,FICE INSURANCE AND REAL ESTATE,1928,170000000,0,324,HTTPS://ASTRA.COM/,
2572,ASTON MARTIN,GAYDON,AUTOMOTIVE,1913,1500000000,,,,
2573,ASTON MARTIN LAGONDA GLOBAL HOLDINGS,UK,,1913,3224000000,1290000,2207,HTTPS://WWW.ASTONMARTINLAGONDA.COM/,MR TOBIAS MOERS
2574,ASTON MINERALS LIMITED,AUSTRALIA,,,,207000000,,,
2575,ASTRA AGRO LESTARI,INDONESIA,AGRICULTURE,,1000000000,,123894,,
2576,ASTRA INDUSTRIAL GROUP COMPANY,SAUDI ARABIA,,,,,,,MR MOHAMMAD ABDULLAH AL HAGBANI
2577,ASTRA INTERNATIONAL,JAKARTA,TRAVEL LEISURE,1996,14970000000,18640000000,129248,,
2578,ASTRA MICROWAVE,INDIA,HARDWARE NETWORKING,1991,340000000,207000000,,HTTPS://WWW.ASTRALPIPES.COM/,
2579,ASTRAKHAN POWER SALE COMPANY PUBLIC JOINT STOCK COMPANY,RUSSIA,,,,,368,,MR OLEG ANATOLYEVICH STATSENKO
2580,ASTRANCEO 12228530,,,,,,,,
2581,ASTRANIS SPACE TECHNOLOGIES,UNITED STATES,MOBILE TELECOMMUNICATIONS,2015,,,,,
2582,ASTRAZENECA,UNITED KINGDOM,PHARMACEUTICALS BIOTECH,1999,224280000000,37417000,83100,HTTPS://WWW.ASTRAZENECA.COM/,MR PASCAL SORIOT D V M M B A
2583,ASTRAZENECA PHARMA INDIA,INDIA,,,1091000000,101000000,,HTTPS://WWW.ASTRAZENECA.COM/,
2584,ASTRIUM,PARIS,AEROSPACE,2006,,,,,
2585,ASTRO CORPORATION,TAIWAN,VIDEO GAMES ENTERTAINMENT,1989,18360000,11,170,HTTP://WWW.ASTROCORP.COM.TW/,MR TIGER BROWN
2586,ASTRO MALAYSIA HOLDINGS BERHAD,MALAYSIA,,,1362000000,,,HTTPS://CORPORATE.ASTRO.COM.MY/,
2587,ASTROTECH,USA,AEROSPACE,,17910000,,,,
2588,ASTRUM FINANCIAL HOLDINGS LTD,HONG KONG,,,,,27,,MR CHIK PAN
2589,ASTURIANA DE LAMINADOS SA,SPAIN,,,,,109,,
2590,ASTUTE CORPORATE SERVICES,INDIA,MANAGEMENT CONSULTING,2005,,,,,
2591,ASUS,TAIWAN,CONSUMER ELECTRONICS APPLIANCES,1989,6570000000,18353000,15400,HTTPS://WWW.ASUS.COM,S Y HSU SAMSON HU
2592,ASUS CAREERS,TAIPEI,COMPUTER HARDWARE,1989,,,5000,WWW.ASUS.COM,
2593,ASUSTEK COMPUTER INC,TAIWAN,CONSTRUCTION,2014,,3,9,HTTPS://WWW.FACEBOOK.COM/ATPROMPTGROUP,MR SAMSON HU
2594,ASX,AUSTRALIA,FICIAL SERVICES STOCK EXCHANGES EXCHANGES,1987,12340000000,18835000,720,HTTPS://WWW.ASX.COM.AU/,MR DOMINIC JOHN STEVENS B COM BCOM HONS
2595,ASYMCHEM LABORATORIES TIANJIN,CHINA,,1998,12902000000,729000000,,HTTPS://WWW.ASYMCHEM.COM/,
2596,ASYMPTOTE LIMITED,UNITED KINGDOM,,,,,,,
2597,AT BAY,UNITED STATES,FINTECH,2016,,163030000000,203000,,MR JOHN T STANKEY
2598,AT INTERNET,BORDEAUX,INTERNET,1995,,,,,
2599,AT S,INDIA,SEMICONDUCTORS,1987,136800000000,168860000,203000,HTTPS://WWW.ATT.COM/,JOHN T STANKEY
2600,AT S AUSTRIA TECHNOLOGIE SYSTEMTECHNIK,AUSTRIA,SEMICONDUCTORS ELECTRONICS TECH TECH HARDWARE,1987,1470000000,,,HTTPS://ATS.NET/,
2601,AT T INC,UNITED STATES,COMMUNICATION SERVICES,,175880000000,,,,
2602,ATA CREATIVITY GLOBAL,CHINA,EDUCATION,,42980000,,,,
2603,ATA GAYRIMENKUL YATIRIM ORTAKLIGI A S,TURKEY,,,,,7,,
2604,ATACAD O,BRAZIL,RETAIL SUPERMARKETS,1960,5770000000,16552000000,95667,HTTPS://WWW.ATACADAO.COM.BR/,MR MARCO APARECIDO DE OLIVEIRA
2605,ATAI LIFE SCIENCES,GERMANY,PHARMACEUTICALS BIOTECH,2018,300000000,,,HTTPS://WWW.ATAI.LIFE/,
2606,ATAL SA,POLAND,RECREATIONAL PRODUCTS,1921,2293000000,4254000,300,HTTPS://WWW.ATEA.COM/,MR WADE J ROSEN
2607,ATARA BIOTHERAPEUTICS,USA,PHARMACEUTICALS BIOTECH,,440000000,20000000,578,HTTPS://WWW.ATARABIO.COM/,
2608,ATARI,FRANCE,TELECOMMUNICATIONS TECHNOLOGY,1983,82260000,,,,
2609,ATC ASSAM,INDIA,LOGISTICS,1952,,,,,
2610,ATC INDIA TOWER CORPORATION,INDIA,TELECOM,2007,,,,,
2611,ATC TELECOM INFRASTRUCTURE,INDIA,TELECOM,2004,,,,,
2612,ATC TIRES,INDIA,AUTO COMPONENTS,2007,,,,,
2613,ATCIS TECHNOLOGY,INDIA,BPO,2013,,,,,
2614,ATCO,CANADA,ENERGY UTILITY COMPANIES ELECTRICITY OIL GAS,1947,3580000000,1266000,6500,HTTPS://WWW.ATCO.COM/EN-CA.HTML,MS NANCY C SOUTHERN
2615,ATE SYSTEM,ITALY,TECHNOLOGY,1995,,2,17,HTTPS://WWW.ATESYSTEM.IT,
2616,ATEA PHARMACEUTICALS,USA,PHARMACEUTICALS BIOTECH,,380000000,,,,
2617,ATEAM,JAPAN,VIDEO GAMES ENTERTAINMENT,,100000000,,,,
2618,ATECNICA,ITALY,ECOMMERCE,2016,3290000000,2000000,5,HTTPS://WWW.ATECNICA.IT,MR SANTIAGO SEAGE MEDELA
2619,ATERIAN,USA,HOME AND KITCHEN APPLIANCES ELECTRONICS TECH,,82480000,,,,
2620,ATHELAS,UNITED STATES,HEALTH,2016,16520000,,,,
2621,ATHENA BPO,INDIA,BPO,2019,,,,,
2622,ATHENA INFONOMICS,INDIA,MANAGEMENT CONSULTING,2010,,2,40,HTTPS://WWW.ATHENAINFONOMICS.COM/,
2623,ATHENAHEALTH TECHNOLOGY,AUSTRALIA,IT SERVICES CONSULTING,1997,,,,,
2624,ATHENE HOLDING,BERMUDA,,2009,12856000000,26325000,1350,HTTPS://WWW.ATHENE.COM/,JAMES BELARDI
2625,ATHENEUM PARTNERS,GERMANY,TECHNOLOGY,2010,,33400000,315,HTTPS://WWW.ATHENEUM-PARTNERS.COM,
2626,ATHENS EXCHANGE,ATHENS,EQUITY INVESTMENT,1876,,,,,
2627,ATHENS MACEDONIAN NEWS AGENCY,ATHENS,MEDIA,2008,,,,,
2628,ATHENS MASS TRANSIT SYSTEM,ATHENS,TRAVEL TOURISM,1993,,,,,
2629,ATHENS WATER SUPPLY AND SEWERAGE COMPANY,GREECE,,,948000000,,,HTTPS://WWW.EYDAP.GR/,
2630,ATHER ENERGY,INDIA,AUTOMOBILE,2013,15930000000,4200000000,4684,HTTPS://WWW.ATMOSENERGY.COM/,KEVIN AKERS
2631,ATHIRA PHARMA,USA,PHARMACEUTICALS BIOTECH,1959,140000000,2928000,4000,HTTP://WWW.ATKORE.COM,
2632,ATHLETIC GREENS,UNITED STATES,HEALTH,2010,,,,,
2633,ATI PHYSICAL THERAPY,,,,90460000,570000000,5600,,
2634,ATIBIR INDUSTRIES,INDIA,IRON STEEL,2000,,,,,
2635,ATISREAL,LEVALLOIS PERRET,REAL ESTATE SERVICES,2003,,,,,
2636,ATKINS,UNITED KINGDOM UK,ENGINEERING CONSTRUCTION,1938,,,,,
2637,ATKORE,,,,4860000000,3800000000,3400,,
2638,ATL CAREERS,RAMSEY,AUTOMOTIVE,1970,,,25,WWW.ATLINC.COM,
2639,ATLANTE,FRANCE,MANAGEMENT CONSULTING,2011,19810000000,2,12,HTTPS://WWW.ATLANTE.FR,CARLO BERTAZZO
2640,ATLANTIC GRUPA,ZAGREB,FOOD PRODUCTS,1991,3805000000,1211000000,,HTTPS://WWW.ATLANTICAYIELD.COM/,
2641,ATLANTIC NAVIGATION HOLDINGS,SINGAPORE,SUPPORT SERVICES,1997,,75,22,HTTPS://WWW.ATLANTICNAVIGATION.COM/,MR SIEW CHEONG WONG
2642,ATLANTIC UNION BANKSHARES,USA,BANKS FICIAL SERVICES,1902,2710000000,785000000,1609,HTTPS://WWW.ATLANTICUNIONBANK.COM/,
2643,ATLANTIS FILM VIDEO SRL,ITALY,,,,,,,
2644,ATLANTSKA PLOVIDBA,DUBROVNIK,MARINE TRANSPORTATION,1955,2850000000,4520000000,4056,,
2645,ATLAS AIR INC,UNITED STATES,MINING,,36170000,,,,
2646,ATLAS AIR WORLDWIDE HOLDINGS,USA,AIRLINES TRAVEL TRANSPORTATION,1992,2890000000,4030000,4056,HTTPS://WWW.ATLASAIR.COM/,
2647,ATLAS ARTERIA,AUSTRALIA,INFRASTRUCTURE TOLL ROAD OPERATORS,2010,6690000000,74000000,3332,HTTPS://WWW.ATLASARTERIA.COM/,MR GRAEME FRANCIS BEVANS
2648,ATLAS COPCO,SWEDEN,MANUFACTURING,1873,61290000000,12920000000,43000,HTTPS://WWW.ATLASCOPCO.COM/,MATS RAHMSTR M
2649,ATLAS CYCLES,INDIA,AUTOMOBILE,1951,,,,,
2650,ATLAS INNOVATIVE ENGINEERING,SPAIN,ENERGY,2014,,3495981,15,HTTP://ATLASINNOVE.COM/,
2651,ATLAS MANAGEMENT INC,UNITED STATES,,,,3510000000,,,
2652,ATLAS MARITIME,ATHENS,MARINE TRANSPORTATION,2004,,,,,
2653,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIGI A S,TURKEY,,,,,5,,
2654,ATLASAEROSPACEACCESSORIESEESTIO 12307424,,,,,,,,
2655,ATLASSIAN,AUSTRALIA,TECH SOFTWARE,2013,36020000000,2400000000,6433,HTTPS://WWW.ATLASSIAN.COM/,MICHAEL CANNON SCOTT FARQUHAR
2656,ATLASSIAN CORPORATION PLC,SYDNEY,,2002,73720000000,,7388,,MR MICHAEL CANNON BROOKES
2657,ATLET,M LNLYCKE,COMMERCIAL VEHICLES TRUCKS,1958,,,,,
2658,ATLINKS GROUP LTD,HONG KONG,,,,,43,,MR CHI HOI TONG
2659,ATMA PARTICIPACOES SA,BRAZIL,,,,,29000,,MR ANDR FELIPE ROSADO FRAN A
2660,ATMOPUR,FRANCE,WASTE MANAGEMENT RECYCLING,2015,,2056210,20,HTTPS://WWW.ATMOPUR.FR,
2661,ATMOS ENERGY CORPORATION,UNITED STATES,,,1376000000,227000000,4684,HTTPS://WWW.ATOMCORP.ASIA/,MR JOHN KEVIN AKERS
2662,ATN INTERNATIONAL,,TELECOMMUNICATION,,760000000,720000000,2300,,
2663,ATOM BANK,UK,BANKS,2014,,,,HTTPS://WWW.ATOMBANK.CO.UK/,
2664,ATOM CORP,JAPAN,,,,,908,,
2665,ATOM SPA,ITALY,TECHNOLOGY,1997,4881000000,10836000,110000,HTTPS://ATOS.NET/EN/,MR RODOLPHE BELMER
2666,ATOM TECHNOLOGIES,INDIA,FINTECH,2006,,,,,
2667,ATOMIC SKIS,ALTENMARKT IM PONGAU,RECREATIONAL PRODUCTS,1955,,,,,
2668,ATOMO DIAGNOSTICS LIMITED,AUSTRALIA,,,,,,,MR JOHN MICHAEL KELLY
2669,ATON GMBH,M NCHEN,FICIAL SERVICES,1969,,2758,18678,WWW.ATON.DE,
2670,ATOS,FRANCE,SOFTWARE,1988,1310000000,12810000000,11218,,RODOLPHE BELMER
2671,ATOS GLOBAL IT SOLUTIONS AND SERVICES,INDIA,IT SERVICES CONSULTING,2000,,,,,
2672,ATOS SYNTEL,UNITED STATES USA,IT SERVICES CONSULTING,1980,,,,,
2673,ATOSS SOFTWARE AG,GERMANY,,,1697000000,97000000,630,HTTPS://WWW.ATOSS.COM/,MR ANDREAS F J OBEREDER
2674,ATOSSA THERAPEUTICS,USA,PHARMACEUTICALS BIOTECH,2000,100000000,274000000,875,HTTPS://WWW.ATRICURE.COM/,
2675,ATOTECH LTD,UNITED KINGDOM,ELECTRONICS,1993,4893000000,1234000,4000,HTTPS://WWW.ATOTECH.COM/,MR GEOFFREY WILD
2676,ATP 30 PUBLIC COMPANY LTD,THAILAND,,,,,,,MR PIYA TECHAKUL
2677,ATPI,UNITED KINGDOM,TRAVEL TOURISM,2002,,1,20,HTTPS://WWW.ATPR59.FR,
2678,ATRADIUS,AMSTERDAM,NON LIFE INSURANCE,1925,,,,,
2679,ATRAKENNUSPALVELUO 11924575,,,,,,,,
2680,ATRESMEDIA,SAN SEBASTI N DE LOS REYES,BROADCASTING ENTERTAINMENT,1988,,,,,
2681,ATRESMEDIA CORPORACI N DE MEDIOS DE COMUNICACI N SA,SPAIN,,,,,2512,,MR SILVIO JOSE GONZALEZ MORENO
2682,ATREYU CAPITAL MARKETS LTD,ISRAEL,,,,,16,,
2683,ATRIA OYJ,FINLAND,,,,,3711,,MR JUHA GROHN M SC
2684,ATRION,USA,MEDICAL DEVICES,,1060000000,,,,
