name,country,sector,founded,marketcap,revenue,employees,links,ceo
360 DIGITECH,CHINA,FINANCIAL-SERVICES TECH ,2005.0,3580000000.0,1584000000.0,1643.0,HTTPS://WWW.360FINANCE.COM.AU/,MR. HAISHENG  WU
360 PRIVATE TRAVEL,UK,TRAVEL & LEISURE,2013.0,3925000000.0,2971014.0,80.0,HTTPS://WWW.360PRIVATETRAVEL.COM,
360 REALTORS, INDIA,REAL ESTATE,2014.0,,,,,
360F,SINGAPORE,FINTECH,2016.0,,3.0,30.0,HTTPS://WWW.360F.COM/,
37 INTERACTIVE ENTERTAINMENT,CHINA,VIDEO-GAMES ENTERTAINMENT ,,7010000000.0,2380000000.0,3996.0,,
374WATER,USA,WASTE-RECYCLING ,,370000000.0,,,,
3A ANTIOXIDANTS,SPAIN,CHEMICALS & PHARMACEUTICALS,2000.0,,7704000.0,23.0,HTTPS://WWW.TRES-A.NET/INDEX.ASP,
3A INFORMATICA,ITALY,TELECOMS,2005.0,,1970000.0,33.0,HTTPS://WWW.3AINFORMATICA.IT/,
3C,ITALY,AUTOMOBILES,1979.0,,13.0,15.0,HTTPS://WWW.3CSRL.COM/,
3CNERGY LTD,SINGAPORE,,,,,,,
3CS CORPORATE SOLICITORS,UNITED KINGDOM,LAW,2012.0,,2.0,28.0,HTTPS://WWW.3HRCS.COM/,
3D SYSTEMS,USA,3D-PRINTING TECH SOFTWARE ,1986.0,1190000000.0,615000000.0,1721.0,HTTPS://WWW.3DSYSTEMS.COM,
3DPLM SOFTWARE SOLUTIONS, FRANCE,SOFTWARE PRODUCT,2001.0,,,,,
3DSTOÃŒ(12454634),                        HARJU MAAKOND TALLINN KESKLINNA LINNAOSA PIKK TN 67-3 10133                            ,SPECIALISED DESIGN ACTIVITIES,,,,,,
"3E COMPANY ENVIRONMENTAL, ECOLOGICAL AND ENGINEERING",UNITED STATES,,,,,,,
3E STUDIO,ITALY,SUPPORT SERVICES,2015.0,,2804580.0,22.0,HTTPS://WWW.3ESTUDIO.EU/,
3E STUDIO S.R.L.,ITALY,SERVIZI GENERALI,,,,2805.0,,
3F INDUSTRIES, INDIA,FOOD PROCESSING,1960.0,89010000.0,85000000.0,1277.0,HTTPS://WWW.3I-INFOTECH.COM/,
