,name,country,sector,founded,marketcap,revenue,employees,website,ceo,idDocDB
61,37 INTERACTIVE ENTERTAINMENT,CHINA,VIDEO GAMES ENTERTAINMENT,,6820000000,2380000000,3996,,,351843
62,374WATER,USA,WASTE RECYCLING,,350000000,,,,,
63,3A ANTIOXIDANTS,SPAIN,CHEMICALS PHARMACEUTICALS,2000,,7704000,23,HTTPS://WWW.TRES-A.NET/INDEX.ASP,,324823
64,3A INFORMATICA,ITALY,TELECOMS,2005,,1970000,33,HTTPS://WWW.3AINFORMATICA.IT/,,70279
65,3C,ITALY,AUTOMOBILES,1979,,13,15,HTTPS://WWW.3CSRL.COM/,,281060
66,3CNERGY LTD,SINGAPORE,,,,,,,,194229
67,3CS CORPORATE SOLICITORS,UNITED KINGDOM,LAW,2012,,2,28,HTTPS://WWW.3HRCS.COM/,,396704
68,3D SYSTEMS,USA,D PRINTING TECH SOFTWARE,1986,1230000000,615000000,1721,HTTPS://WWW.3DSYSTEMS.COM,,341729
69,3DPLM SOFTWARE SOLUTIONS,FRANCE,SOFTWARE PRODUCT,2001,,,,,,218897
70,3DSTO 12454634,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA PIKK TN,SPECIALISED DESIGN ACTIVITIES,,,,,,,
71,3E COMPANY ENVIRONMENTAL ECOLOGICAL AND ENGINEERING,UNITED STATES,,,,,,,,45927
72,3E STUDIO,ITALY,SUPPORT SERVICES,2015,,2804580,22,HTTPS://WWW.3ESTUDIO.EU/,,283915
73,3F INDUSTRIES,INDIA,FOOD PROCESSING,1960,86140000,85000000,,HTTPS://WWW.3I-INFOTECH.COM/,,544199
74,3H BIOMEDICAL,UPPSALA,BIOTECHNOLOGY,2004,,,,,,140661
75,3I,LONDON,CORPORATE FICE,1945,,,,,,501798
76,3I GROUP,UK,FICIAL SERVICES,1945,40133000000,4882000,282,HTTPS://WWW.3I.COM/,SIMON A BORROWS,182428
77,3I INFOTECH,INDIA,IT SERVICES CONSULTING,1993,83210000,417000000,,,,501798
78,3I INFRASTRUCTURE,UK,INVESTMENTS,,,485000000,,,,182428
79,3KLES CONSULTING,FRANCE,SUPPORT SERVICES,2012,,4,25,HTTPS://WWW.3KLES-CONSULTING.COM,,334373
80,3LHD,ZAGREB,BUSINESS SUPPORT SERVICES,1994,,,,,,468281
81,3M,USA,DOWJONES GLOVESPPE,1902,70540000000,34760000000,95000,,MICHAEL F ROMAN,542121
82,3M INDIA,INDIA,GLOVE PPE,,3130000000,417000000,1277,HTTPS://WWW.3MINDIA.IN/3M/EN_IN/COMPANY-IN/,,542121
83,3M INNOVATIVE PROPERTIES COMPANY,UNITED STATES,,,,,,,,283007
84,3P LEARNING LIMITED,AUSTRALIA,,,,,350,,DR ANDREAS FOURAS M A I C D PH D,165229
85,3P LOGISTICS OU,ESTONIA,,,,,,,,525854
86,3PEAK INC,CHINA,,2012,8907000000,193000000,395,HTTP://WWW.3PEAKIC.COM.CN/,MR ZHIXU ZHOU,420882
87,3PILLAR GLOBAL,INDIA,IT SERVICES CONSULTING,2006,,,,,,204086
88,3R PETROLEUM,BRAZIL,OIL GAS ENERGY,,1950000000,,,,MR RICARDO RODRIGUES SAVINI,319189
89,3SBIO,CHINA,,,2844000000,929000000,,HTTPS://WWW.3SBIO.COM/EN/,,
90,3SCALE,BARCELONA,SOFTWARE,2007,,,,,,63866
91,3U HOLDING AG,GERMANY,AUTOMOBILES,2016,,25448057,227,HTTPS://WWW.3ZEHN.NET/,MR MICHAEL SCHMIDT,170193
92,42MARU,SOUTH KOREA,TECHNOLOGY,2015,,2,65,HTTPS://WWW.42MARU.AI/,,
93,4AIM SICAF S P A,ITALY,COSTRUZIONI IMPIANTISTICA,,,,3,,MR GIOVANNI NATALI,355425
94,4D MOLECULAR THERAPEUTICS,USA,PHARMACEUTICALS BIOTECH,,650000000,,,,,197018
95,4D PHARMA PLC,UNITED KINGDOM,,,,,92,,MR DUNCAN JOSEPH PEYTON,65475
96,4E TV,THESSALONIKI,MEDIA,1994,,,,,,56819
97,4F,WIELICZKA,TEXTILE,2007,,,,,,118534
98,4F COMPANY,WIELICZKA,TEXTILE,2007,,,,,,118534
99,4I APPS SOLUTIONS,INDIA,IT SERVICES CONSULTING,2008,,,,,,270833
100,4IMPRINT GROUP,UK,,,1128000000,787000000,,HTTPS://INVESTORS.4IMPRINT.COM/,,174899
101,4MOST GROUP HOLDINGS,UNITED KINGDOM,INSURANCE,2011,,22,120,HTTPS://WWW.4-MOST.CO.UK,,474096
102,4PARADIGM,CHINA,ARTIFICIAL INTELLIGENCE,2015,,,,HTTPS://WWW.4PARADIGM.COM/,,
